Input,Gematria Value,Prime?
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן יְהוָה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1705,Composite
"And Moses and Aaron came unto the LORD, and did so as he had commanded: and Aaron cast down his rod before Pharaoh, and before his servants, and it smote them. And the LORD called also for the wise men, and for the sorcerers; and they did also unto the Egyptians in their plagues in like manner. And they cast down his rod, and it smote them, and it smote them, and they swallowed them up. Aaron's staff, their staff.",0,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן יְהוָה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1729,Composite
יָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן יְהוָה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1723,✅Prime!✅
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1703,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־פַרְעֹ֖ה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1674,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן פַּרְעֹ֖ה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־יְהוָה וְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1729,Composite
וַיָּבֹ֨א מֹשֶׁ֧ה וְאַהֲרֹ֛ן יְהוָה וַיַּ֣עֲשׂוּ כֵ֑ן כַּאֲשֶׁ֨ר צִוָּ֣ה וַיַּשְׁלֵ֥ךְ אַהֲרֹ֛ן ־מַטֵּ֥הוּ לִפְנֵֽי־יְהוָהוְלִפְנֵ֣י עֲבָדָ֑יו וַיְ לְתַנִּֽין׃ וַיִּקְרָ֨א גַּם־יְהוָה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃ וַיַּשְׁלִ֣יכוּ אִ֣ישׁ מַטֵּ֗הוּ וַיִּֽהְי֤וּ לְתַנִּינִם֙ וַיִּבְלַ֥ע מַטֵּֽה־אַהֲרֹ֖ן מַטֹּתָֽם׃,1697,✅Prime!✅
וַיִּקְרָ֨א גַּם־פַּרְעֹ֜ה לַחֲכָמִ֣ים וְלַמְכַשְּׁפִ֗ים וַיַּֽעֲשׂוּ֙ גַּם־הֵ֣ם חַרְטֻמֵ֣י מִצְרַ֔יִם בְּלָטֵיהֶ֖ם כֵּֽן׃,603,Composite
ביהוה וז דברי אמת,113,✅Prime!✅
שְׁמַע יִשְׂרָאֵל יְהוָה אֱלֹהֵינוּ יְהוָה אֶחָד,227,✅Prime!✅
